Potential,Flux
25.0,-2.1936230609753693e-10
24.9,-3.5984548674150574e-11
24.8,-5.829559057701772e-11
24.7,-4.562572541999543e-11
24.6,-1.2807976901285656e-10
24.5,-3.352429445158123e-11
24.4,-1.233635416042489e-10
24.3,-1.2426504270024452e-10
24.2,-8.58557669403126e-11
24.1,-4.0238923304514174e-11
24.0,-6.601830193631031e-11
23.9,-1.7245760375317332e-10
23.8,-2.62314614474235e-10
23.7,-1.524913528783145e-10
23.6,-1.7356338588569997e-10
23.5,-1.666045079673495e-10
23.4,-6.397993246309852e-11
23.3,-9.466205597163935e-11
23.2,-2.334976656470644e-10
23.1,-2.440403434889049e-10
23.0,-2.2576607250357483e-10
22.9,-2.2043256109327558e-10
22.8,-3.1660896127050364e-10
22.7,-3.3930191989384184e-10
22.6,-4.142153287034489e-10
22.5,-4.5004000526205346e-10
22.4,-5.372058353714237e-10
22.3,-5.165867733580853e-10
22.2,-6.460432189214771e-10
22.1,-7.350875463885131e-10
22.0,-6.891109904927362e-10
21.9,-8.392531114509438e-10
21.8,-9.584555371588976e-10
21.7,-1.0271428152464068e-09
21.6,-1.0940581773866143e-09
21.5,-1.2990852837901912e-09
21.4,-1.3941026111297106e-09
21.3,-1.5426948607455415e-09
21.2,-1.684248296385249e-09
21.1,-1.7890755543703563e-09
21.0,-1.960480666696185e-09
20.9,-2.237148244432774e-09
20.8,-2.4417756705474858e-09
20.7,-2.7432189853016098e-09
20.6,-2.9297497761149316e-09
20.5,-3.3692826306719326e-09
20.4,-3.6206770914759545e-09
20.3,-3.977089768625319e-09
20.2,-4.463558411771373e-09
20.1,-4.8552450948591286e-09
20.0,-5.277711601081592e-09
19.9,-6.012479403239013e-09
19.8,-6.623794845950215e-09
19.7,-7.210285701830799e-09
19.6,-8.005822671464102e-09
19.5,-8.89357920641487e-09
19.4,-9.861569338909248e-09
19.3,-1.081995382179457e-08
19.2,-1.1979137681805696e-08
19.1,-1.3201426618536516e-08
19.0,-1.4566805539573124e-08
18.9,-1.6078161024779547e-08
18.8,-1.778108771333109e-08
18.7,-1.9554460273241148e-08
18.6,-2.1640693681490575e-08
18.5,-2.377986252355413e-08
18.4,-2.6239015404883048e-08
18.3,-2.897171835769541e-08
18.2,-3.192928144102325e-08
18.1,-3.5217553318034334e-08
18.0,-3.8842151717233264e-08
17.9,-4.283148946626625e-08
17.8,-4.7301877970085116e-08
17.7,-5.219178866866514e-08
17.6,-5.7470970205031335e-08
17.5,-6.33381480596995e-08
17.4,-6.990640066817377e-08
17.3,-7.691708603374536e-08
17.2,-8.470342205413317e-08
17.1,-9.346022178391422e-08
17.0,-1.0279349815789374e-07
16.9,-1.1341968697564653e-07
16.799999999999997,-1.2475724453508974e-07
16.7,-1.3732475601102578e-07
16.6,-1.5110535933615665e-07
16.5,-1.662407811409139e-07
16.4,-1.829712870105027e-07
16.299999999999997,-2.0119771182436352e-07
16.2,-2.2121970477684272e-07
16.1,-2.432842594046747e-07
16.0,-2.6732466906764785e-07
15.9,-2.9376193033670006e-07
15.799999999999999,-3.22708064715016e-07
15.7,-3.543538262817947e-07
15.6,-3.890617605861735e-07
15.5,-4.2707550385046034e-07
15.399999999999999,-4.6858974034336143e-07
15.299999999999999,-5.140008951798336e-07
15.2,-5.636069477787942e-07
15.1,-6.177572764443084e-07
15.0,-6.770950555790023e-07
14.899999999999999,-7.415793445986196e-07
14.799999999999999,-8.120810068845685e-07
14.7,-8.889485902940919e-07
14.6,-9.72943410282312e-07
14.5,-1.064461137012529e-06
14.399999999999999,-1.1640061714501826e-06
14.299999999999999,-1.272591760859143e-06
14.2,-1.390732395911698e-06
14.1,-1.5193709979044456e-06
14.0,-1.6594762408672636e-06
13.899999999999999,-1.8116615585483942e-06
13.799999999999999,-1.977400447827904e-06
13.7,-2.1574212416552996e-06
13.6,-2.353079131545144e-06
13.5,-2.5660008340366858e-06
13.399999999999999,-2.7970969318502625e-06
13.299999999999999,-3.048203360833668e-06
13.2,-3.3209892036367705e-06
13.1,-3.617460668792205e-06
13.0,-3.939164452404498e-06
12.899999999999999,-4.288900603555135e-06
12.799999999999999,-4.668523159168103e-06
12.7,-5.080747804697694e-06
12.6,-5.528528252973786e-06
12.5,-6.015010467486093e-06
12.399999999999999,-6.54347261264121e-06
12.299999999999999,-7.117685782986882e-06
12.2,-7.74148398274832e-06
12.1,-8.419575019402714e-06
12.0,-9.156657667652723e-06
11.899999999999999,-9.958017548328257e-06
11.799999999999999,-1.0829874326212519e-05
11.7,-1.1778168631515484e-05
11.6,-1.2810320599854208e-05
11.5,-1.3933598195237096e-05
11.399999999999999,-1.5157004029653365e-05
11.299999999999999,-1.6489472938197025e-05
11.2,-1.7941427272738508e-05
11.1,-1.9524258334513434e-05
11.0,-2.1249952202317957e-05
10.899999999999999,-2.3132461879349364e-05
10.799999999999999,-2.518645251026186e-05
10.7,-2.742858153048644e-05
10.6,-2.987699954548617e-05
10.5,-3.255120300416081e-05
10.399999999999999,-3.5473153516818456e-05
10.299999999999999,-3.8666927482111646e-05
10.2,-4.215903520954356e-05
10.1,-4.597831266828223e-05
10.0,-5.0156491617769916e-05
9.899999999999999,-5.4728810408022355e-05
9.799999999999999,-5.973364461286934e-05
9.7,-6.521320342844916e-05
9.6,-7.121399665077632e-05
9.5,-7.778691060167375e-05
9.399999999999999,-8.498792274824751e-05
9.299999999999999,-9.28785388509823e-05
9.2,-0.00010152581919609105
9.1,-0.00011100393344065651
9.0,-0.000121394031964428
8.899999999999999,-0.00013278466988619897
8.8,-0.00014527340993275573
8.7,-0.00015896678497995254
8.599999999999998,-0.00017398172222460317
8.5,-0.00019044620586328165
8.399999999999999,-0.00020850001285488418
8.3,-0.00022829630890619512
8.2,-0.000250002312620623
8.099999999999998,-0.00027380095787954417
8.0,-0.00029989194072488345
7.899999999999999,-0.00032849300719561825
7.800000000000001,-0.00035984246953724153
7.699999999999999,-0.0003941992306177866
7.599999999999998,-0.0004318459090768556
7.5,-0.00047309027001674053
7.399999999999999,-0.0005182673175463393
7.300000000000001,-0.0005677412026194872
7.199999999999999,-0.0006219076452085304
7.099999999999998,-0.0006811968565711979
7.0,-0.0007460750488252899
6.899999999999999,-0.0008170482108171839
6.800000000000001,-0.0008946646620389131
6.699999999999999,-0.000979517354942061
6.599999999999998,-0.0010722482019254187
6.5,-0.001173551140198903
6.399999999999999,-0.0012841745884806244
6.300000000000001,-0.001404926635824033
6.199999999999999,-0.0015366775034975078
6.099999999999998,-0.0016803642739215974
6.0,-0.0018369949822760745
5.899999999999999,-0.002007652330222598
5.799999999999997,-0.0021934985370286597
5.699999999999999,-0.0023957790512429966
5.599999999999998,-0.0026158280501586972
5.5,-0.002855072479235332
5.399999999999999,-0.003115037032821455
5.299999999999997,-0.0033973484200133797
5.199999999999999,-0.0037037410665918813
5.099999999999998,-0.004036061024779158
5.0,-0.004396271564073295
4.899999999999999,-0.004786457771293051
4.799999999999997,-0.005208830955951704
4.699999999999999,-0.005665733977955334
4.599999999999998,-0.006159645548802217
4.5,-0.006693185060790974
4.399999999999999,-0.007269116565029599
4.299999999999997,-0.007890353606514466
4.199999999999999,-0.008559963036622875
4.099999999999998,-0.00928116897499276
4.0,-0.010057356449548749
3.8999999999999986,-0.010892075069088847
3.799999999999997,-0.011789041842611425
3.6999999999999993,-0.012752145012320248
3.599999999999998,-0.013785445734955104
3.5,-0.014893180689901087
3.3999999999999986,-0.016079764759746595
3.299999999999997,-0.017349792002581133
3.1999999999999993,-0.018708037253429843
3.099999999999998,-0.020159457457911145
3.0,-0.021709191905281422
2.8999999999999986,-0.023362562700151024
2.799999999999997,-0.02512507465194158
2.6999999999999993,-0.027002414807393293
2.599999999999998,-0.029000451255525306
2.5,-0.031125231971413925
2.3999999999999986,-0.03338298333269929
2.299999999999997,-0.03578010666288822
2.1999999999999993,-0.03832317722619383
2.099999999999998,-0.04101893933184719
2.0,-0.043874303176654195
1.8999999999999986,-0.046896339977466894
1.7999999999999972,-0.0500922780486146
1.6999999999999993,-0.05346949503814091
1.5999999999999979,-0.05703551280722863
1.5,-0.060797989800116525
1.3999999999999986,-0.06476471247646831
1.2999999999999972,-0.06894358592690608
1.1999999999999993,-0.0733426241228674
1.0999999999999979,-0.07796993728936386
1.0,-0.08283372039502357
0.8999999999999986,-0.08794223762700337
0.7999999999999972,-0.09330380730505627
0.6999999999999993,-0.09892678372477093
0.5999999999999979,-0.10481953787247367
0.5,-0.11099043603738146
0.3999999999999986,-0.11744781571598306
0.29999999999999716,-0.12419995939756845
0.1999999999999993,-0.13125506595277336
0.09999999999999787,-0.13862121859911092
0.0,-0.1463063501288664
-0.10000000000000142,-0.15431820487521897
-0.20000000000000284,-0.1626642973148229
-0.3000000000000007,-0.17135186641493938
-0.40000000000000213,-0.18038782614185678
-0.5,-0.1897787128546069
-0.6000000000000014,-0.19953062637409147
-0.7000000000000028,-0.2096491680966972
-0.8000000000000007,-0.22013937371215597
-0.9000000000000021,-0.23100564035945848
-1.0,-0.2422516503339045
-1.1000000000000014,-0.253880287716739
-1.2000000000000028,-0.2658935507575988
-1.3000000000000007,-0.2782924593555114
-1.4000000000000021,-0.29107695631424235
-1.5,-0.3042458042611962
-1.6000000000000014,-0.31779647748125583
-1.7000000000000028,-0.3317250484785417
-1.8000000000000007,-0.3460260718649355
-1.9000000000000021,-0.3606924629764663
-2.0,-0.3757153742170116
-2.1000000000000014,-0.3910840685079675
-2.200000000000003,-0.40678579230645884
-2.3000000000000007,-0.4228056471809216
-2.400000000000002,-0.4391264630610303
-2.5,-0.45572867449150234
-2.6000000000000014,-0.47259019965562477
-2.700000000000003,-0.4896863267205642
-2.8000000000000007,-0.5069896083148828
-2.900000000000002,-0.5244697657423592
-3.0,-0.5420936077003224
-3.1000000000000014,-0.5598249640530106
-3.200000000000003,-0.5776246396886409
-3.3000000000000007,-0.5954503895726093
-3.400000000000002,-0.6132569214508488
-3.5,-0.6309959259798692
-3.6000000000000014,-0.6486161417608116
-3.700000000000003,-0.6660634564108969
-3.8000000000000007,-0.6832810481552931
-3.900000000000002,-0.7002095726408486
-4.0,-0.7167873957468607
-4.100000000000001,-0.7329508794974648
-4.200000000000003,-0.7486347181517083
-4.300000000000001,-0.7637723339942037
-4.400000000000002,-0.7782963255052855
-4.5,-0.7921389767405218
-4.600000000000001,-0.8052328208128956
-4.700000000000003,-0.8175112598159173
-4.800000000000001,-0.828909235673958
-4.900000000000002,-0.8393639485661408
-5.0,-0.8488156157546012
-5.100000000000001,-0.857208261959872
-5.200000000000003,-0.8644905334076269
-5.300000000000001,-0.8706165201790261
-5.400000000000002,-0.8755465757617853
-5.5,-0.8792481162091748
-5.600000000000001,-0.8816963825893032
-5.700000000000003,-0.8828751469088947
-5.800000000000001,-0.8827773423662078
-5.900000000000002,-0.8814055969149681
-6.0,-0.8787726514850858
-6.100000000000001,-0.8749016388239372
-6.200000000000003,-0.8698262110509147
-6.300000000000001,-0.8635904928914306
-6.400000000000002,-0.8562488531806645
-6.5,-0.8478654809060704
-6.600000000000001,-0.8385137646542917
-6.700000000000003,-0.8282754736785702
-6.800000000000001,-0.8172397494875228
-6.900000000000002,-0.8055019206670988
-7.0,-0.793162160333809
-7.100000000000001,-0.7803240132601286
-7.200000000000003,-0.7670928265650695
-7.300000000000004,-0.7535741197961787
-7.399999999999999,-0.7398719399190506
-7.5,-0.7260872425254933
-7.600000000000001,-0.7123163499760043
-7.700000000000003,-0.6986495278339555
-7.800000000000004,-0.6851697271647805
-7.899999999999999,-0.6719515247564251
-8.0,-0.6590602978587895
-8.100000000000001,-0.6465516512850372
-8.200000000000003,-0.6344711128027125
-8.300000000000004,-0.6228540958868939
-8.399999999999999,-0.6117261233150859
-8.5,-0.6011032895333781
-8.600000000000001,-0.5909929353618739
-8.700000000000003,-0.5813944961625797
-8.800000000000004,-0.5723004826138872
-8.899999999999999,-0.5636975468673516
-9.0,-0.5555675893149017
-9.100000000000001,-0.5478888599500829
-9.200000000000003,-0.540637014898093
-9.300000000000004,-0.5337860938992167
-9.399999999999999,-0.5273093915640137
-9.5,-0.5211802048977603
-9.600000000000001,-0.5153724468237206
-9.700000000000003,-0.5098611236460603
-9.800000000000004,-0.5046226823562899
-9.899999999999999,-0.4996352380793079
-10.0,-0.4948786966214294
-10.100000000000001,-0.4903347902374128
-10.200000000000003,-0.48598704424884953
-10.300000000000004,-0.4818206926232582
-10.399999999999999,-0.4778225597779939
