Potential,Flux
25.0,-3.317524033263908e-11
24.9,-2.7612578890057193e-11
24.8,1.5791368213058377e-11
24.7,-1.0448530929352273e-11
24.6,-5.703260086420414e-11
24.5,-6.015543618786978e-11
24.4,-2.0449864024385533e-11
24.3,-3.936317938268985e-11
24.2,-7.823430792086583e-11
24.1,-5.090239341143388e-11
24.0,-3.1465052785506487e-11
23.9,7.385203559806541e-11
23.8,-1.0849765530451805e-10
23.7,8.482103908136196e-13
23.6,-9.736433881357698e-11
23.5,-1.1118217457806168e-11
23.4,1.7998047496803338e-11
23.3,-1.20561338690095e-11
23.2,-9.139400347635274e-11
23.1,-1.1653700227043373e-10
23.0,-9.32929289376716e-11
22.9,-9.898881714320851e-11
22.8,-1.2458256648528732e-10
22.7,-1.5210499526574495e-10
22.6,-1.364903745582069e-10
22.5,-1.5226619964892052e-10
22.4,-1.372932878496158e-10
22.3,-1.8557111403083582e-10
22.2,-1.280553441063148e-10
22.1,-1.2135314975125766e-10
22.0,-1.340447752795626e-10
21.9,-1.6366197286288298e-10
21.8,-2.050191127977996e-10
21.7,-2.343880645128138e-10
21.6,-2.8657121120545526e-10
21.5,-3.6019409677123804e-10
21.4,-3.8484948561290366e-10
21.3,-3.9213210456523484e-10
21.2,-5.57034418591229e-10
21.1,-4.1699133035422165e-10
21.0,-5.261742153095383e-10
20.9,-5.347708942338159e-10
20.8,-6.934310903261576e-10
20.7,-7.276836910818929e-10
20.6,-8.016489694284701e-10
20.5,-8.992269151519849e-10
20.4,-8.9716811757512e-10
20.3,-9.801102152096064e-10
20.2,-1.2071046384676265e-09
20.1,-1.320203946164611e-09
20.0,-1.3788521435742496e-09
19.9,-1.5506556039213137e-09
19.8,-1.8380159616526726e-09
19.7,-1.8170633886427368e-09
19.6,-2.061381287887798e-09
19.5,-2.369926477285844e-09
19.4,-2.5607853615383647e-09
19.3,-2.8507489702178646e-09
19.2,-3.0738900314020157e-09
19.1,-3.450100649615706e-09
19.0,-3.806444048848334e-09
18.9,-4.0963055170095686e-09
18.8,-4.595515967764641e-09
18.7,-5.1265254263910265e-09
18.6,-5.610965025937276e-09
18.5,-6.173785926932851e-09
18.4,-6.876144542644624e-09
18.3,-7.66480301450656e-09
18.2,-8.362353920432497e-09
18.1,-9.288089852788062e-09
18.0,-1.0243840886658973e-08
17.9,-1.1395977050909778e-08
17.8,-1.2661216075571247e-08
17.7,-1.3798277187504482e-08
17.6,-1.53105070843651e-08
17.5,-1.6974440963934967e-08
17.4,-1.8757798425639294e-08
17.3,-2.0655328114571603e-08
17.2,-2.2765915819178417e-08
17.1,-2.5073015219589934e-08
17.0,-2.7725100437692163e-08
16.9,-3.0645455062483506e-08
16.799999999999997,-3.3676393673687244e-08
16.7,-3.721430452685581e-08
16.6,-4.100340644797029e-08
16.5,-4.5390872394079906e-08
16.4,-5.001972436247115e-08
16.299999999999997,-5.51959207228947e-08
16.2,-6.077755276834296e-08
16.1,-6.700189869590645e-08
