Potential,Flux
20.0,-8.244604554619173e-06
19.99,-8.286127339829363e-08
19.98,-8.369260839913295e-08
19.97,-8.453371336258897e-08
19.96,-8.538281193182229e-08
19.95,-8.624123637446246e-08
19.94,-8.710765442287993e-08
19.93,-8.798339834470426e-08
19.92,-8.886757996151573e-08
19.91,-8.976108745173406e-08
19.9,-9.066303263693953e-08
19.89,-9.157385960634201e-08
19.88,-9.249445653836119e-08
19.87,-9.342393525457737e-08
19.86,-9.436318393341026e-08
19.85,-9.531131439644014e-08
19.84,-9.626921482208672e-08
19.83,-9.723688521035001e-08
19.82,-9.821388147202015e-08
19.81,-9.920109178551684e-08
19.8,-1.0019807206163023e-07
19.79,-1.0120482230036032e-07
19.78,-1.0222223068012681e-07
19.77,-1.0324940902251001e-07
19.76,-1.042872455059296e-07
19.75,-1.0533529604117575e-07
19.74,-1.063940047174583e-07
19.73,-1.0746337153477725e-07
19.72,-1.0854295240392275e-07
19.71,-1.0963407959252436e-07
19.7,-1.1073586492216236e-07
19.69,-1.1184875248204662e-07
19.68,-1.1297274227217713e-07
19.67,-1.1410827838176374e-07
19.66,-1.1525536081080645e-07
19.65,-1.1641354547009541e-07
19.64,-1.1758327644884048e-07
19.63,-1.187649978362515e-07
19.62,-1.1995870963232846e-07
19.61,-1.2116441183707138e-07
19.6,-1.2238210445048026e-07
19.59,-1.2361223156176493e-07
19.58,-1.2485434908171555e-07
19.57,-1.2610934518875183e-07
19.56,-1.273767757936639e-07
19.55,-1.286566408964518e-07
19.54,-1.2994982867553517e-07
19.53,-1.312558950417042e-07
19.52,-1.3257528408416874e-07
19.51,-1.3390755171371893e-07
19.5,-1.3525314201956462e-07
19.49,-1.3661249909091566e-07
19.48,-1.3798562292777206e-07
19.47,-1.3937206944092395e-07
19.46,-1.4077272680879105e-07
19.45,-1.4218759503137335e-07
19.44,-1.4361667410867085e-07
19.43,-1.4505996404068355e-07
19.42,-1.4651835300583116e-07
19.41,-1.4799050873648412e-07
19.4,-1.4947820758948183e-07
19.39,-1.5098011729719474e-07
19.38,-1.524975701272524e-07
19.37,-1.5403012199044497e-07
19.36,-1.5557821697598229e-07
19.35,-1.5714185508386436e-07
19.34,-1.5872103631409118e-07
19.33,-1.603162047558726e-07
19.32,-1.6192736040920863e-07
19.31,-1.635549473633091e-07
19.3,-1.651985215289642e-07
19.29,-1.6685897108459358e-07
19.28,-1.6853585194098741e-07
19.27,-1.7022960818735555e-07
19.26,-1.71940239823698e-07
19.25,-1.7366863502843444e-07
19.24,-1.7541390562314518e-07
19.23,-1.7717693978624993e-07
19.22,-1.7895729342853883e-07
19.21,-1.8075629881764144e-07
19.2,-1.825726236859282e-07
19.19,-1.8440760030102865e-07
19.18,-1.8626078457373296e-07
19.17,-1.8813306468246083e-07
19.16,-1.9002355244879254e-07
19.15,-1.9193358014035766e-07
19.14,-1.9386225957873648e-07
19.13,-1.9581092303155856e-07
19.12,-1.9777868232040419e-07
19.11,-1.9976642562369307e-07
19.1,-2.017741529414252e-07
19.09,-2.0380186427360059e-07
19.08,-2.0585000370942907e-07
19.07,-2.0791901533812052e-07
19.06,-2.1000845507046506e-07
19.05,-2.121192110848824e-07
19.04,-2.142508392921627e-07
19.03,-2.1640422787072566e-07
19.02,-2.1857937682057127e-07
19.01,-2.2077584205248968e-07
19.0,-2.2299495583411044e-07
18.99,-2.2523582998701386e-07
18.98,-2.2749935268961963e-07
18.97,-2.297859680311376e-07
18.96,-2.3209523192235793e-07
18.95,-2.344280325417003e-07
18.94,-2.3678392579995489e-07
18.93,-2.3916379987554137e-07
18.92,-2.4156765476845976e-07
18.91,-2.439950463895002e-07
