Potential Vs. RHE,"Flux, mA / cm2"
-0.056258461,-79.4577675
-0.055782181,-77.38643033
-0.05481773,-75.91924811
-0.053985496,-74.3719957
-0.053270935,-71.97115988
-0.052305999,-70.61299101
-0.051558743,-68.82562599
-0.05091887,-67.15135768
-0.050278885,-65.50229666
-0.049638522,-63.93831026
-0.049253108,-62.22858969
-0.048845106,-60.3998367
-0.048205013,-58.77490266
-0.047511909,-56.94055605
-0.046818228,-55.23584693
-0.046016444,-53.58008798
-0.045161833,-51.67332442
-0.044414045,-50.00569403
-0.043828384,-48.27076017
-0.04329614,-46.65413254
-0.042711096,-44.78055858
-0.042017175,-43.12986509
-0.041268783,-41.59817403
-0.040575254,-39.85925502
-0.039881229,-38.2319683
-0.039187285,-36.58667637
-0.038493484,-34.90897507
-0.03769182,-33.2262083
-0.036836327,-31.51795216
-0.035980581,-29.86641243
-0.035124962,-28.18651449
-0.034269216,-26.53497476
-0.033359359,-24.92141401
-0.032341993,-23.22311475
-0.031270145,-21.64597854
-0.030144344,-20.0710728
-0.028964704,-18.47296106
-0.027784209,-17.06734137
-0.026603774,-15.64797225
-0.025422423,-14.43484461
-0.024241316,-13.16671924
-0.023059415,-12.07733648
-0.021877117,-11.07732503
-0.020694788,-10.0841883
-0.019512001,-9.194172301
-0.018328449,-8.476024202
-0.017144837,-7.771625534
-0.015961011,-7.115349878
-0.014777124,-6.472823654
-0.013592748,-5.940292884
-0.012408158,-5.455885125
-0.011223507,-4.985226798
-0.010038734,-4.542067335
-0.008853685,-4.160780314
-0.007668423,-3.827616305
-0.006483222,-3.480702864
-0.005297716,-3.202536582
-0.004112179,-2.931245016
-0.002926489,-2.694327029
-0.00174086,-2.44365961
-0.000554895,-2.268614066
0.000631009,-2.079819091
0.001817035,-1.918522979
0.003003061,-1.757226867
0.004189178,-1.616554903
0.005375296,-1.475882939
0.006561566,-1.369584554
0.00774802,-1.304534464
0.008934138,-1.1638625
0.010120622,-1.105687126
0.011306954,-1.013138173
0.012493468,-0.961837516
0.0136798,-0.869288563
0.014866437,-0.845486768
0.016052677,-0.732313668
0.017239406,-0.729136021
0.018426165,-0.732833091
0.019396862,-0.671039216
