Potential,Flux
10.0,-0.0007090628084682749
9.9,-0.0004428257760480392
9.8,-0.00039380165794966615
9.7,-0.00038605119101475793
9.6,-0.00039494074677293156
9.5,-0.0004134070863415218
9.4,-0.0004387490371016156
9.3,-0.00046982417956087374
9.2,-0.0005061606689338305
9.1,-0.0005476452624719741
9.0,-0.0005943645575712253
8.9,-0.0006465428192825584
8.8,-0.0007045086736212625
8.7,-0.0007686640213222518
8.6,-0.0008394951400703121
8.5,-0.0009175471493705345
8.4,-0.0010034395536706597
8.3,-0.001097856250353857
8.2,-0.001201555521745945
8.1,-0.001315370035115393
8.0,-0.001440216834680541
7.9,-0.0015770906802714535
7.8,-0.0017270873620134353
7.699999999999999,-0.0018913937083198107
7.6,-0.002071308680129391
7.5,-0.0022682422606834507
7.4,-0.002483728778202021
7.3,-0.0027194302365529666
7.199999999999999,-0.0029771574094894504
7.1,-0.00325887317131901
7.0,-0.00356669582757263
6.9,-0.0039029246501343096
6.8,-0.004270046538579209
6.699999999999999,-0.0046707471224038954
6.6,-0.005107926304148691
6.5,-0.0055847060309588414
6.4,-0.006104460270606182
6.3,-0.006670808350150992
6.199999999999999,-0.007287650483078778
6.1,-0.00795916554885423
6.0,-0.008689843289388932
5.8999999999999995,-0.009484489860156486
5.8,-0.010348235601753686
5.7,-0.011286576118152425
5.6,-0.012305361174469454
5.5,-0.013410830224103165
5.3999999999999995,-0.0146096035269494
5.3,-0.01590871767653823
5.199999999999999,-0.017315627820480017
5.1,-0.018838215432026573
5.0,-0.020484800522524438
4.8999999999999995,-0.022264144972083955
4.8,-0.02418546807270161
4.699999999999999,-0.026258430985137693
4.6,-0.028493148951369562
4.5,-0.030900177971915355
4.3999999999999995,-0.033490522577395154
4.3,-0.03627559364005606
4.199999999999999,-0.0392672228066715
4.1,-0.042477623640735374
4.0,-0.04591937607933971
3.8999999999999995,-0.049605388685591834
3.8,-0.053548854239693355
3.6999999999999993,-0.05776323863670996
3.5999999999999996,-0.06226219873006755
3.5,-0.06705954014307736
3.3999999999999995,-0.07216919284402934
3.3,-0.07760507569898323
3.1999999999999993,-0.08338112644779017
3.0999999999999996,-0.08951111074573248
3.0,-0.09600868544623609
2.8999999999999995,-0.10288716656425834
2.8,-0.11015955703186364
2.6999999999999993,-0.11783845677015847
2.5999999999999996,-0.12593582288111804
2.5,-0.13446314395260117
2.3999999999999995,-0.14343104037806143
2.3,-0.15284942755933173
2.1999999999999993,-0.16272730607447272
2.0999999999999996,-0.1730726428839091
2.0,-0.1838923535668613
1.9000000000000004,-0.19519219685015798
1.799999999999999,-0.20697663472013517
1.6999999999999993,-0.2192488579577656
1.5999999999999996,-0.23201063514832754
1.5,-0.24526221387155545
1.4000000000000004,-0.25900237288212224
1.299999999999999,-0.27322828111131514
1.1999999999999993,-0.2879354099594167
1.0999999999999996,-0.3031177553403097
1.0,-0.3187673325300011
0.9000000000000004,-0.3348745081233062
0.7999999999999989,-0.351427964506712
0.6999999999999993,-0.3684145577498299
0.5999999999999996,-0.38581932426673404
0.5,-0.4036256184836162
0.3999999999999986,-0.42181492410087174
0.29999999999999893,-0.4403670350594524
0.1999999999999993,-0.45926003555685213
0.09999999999999964,-0.4784703222515674
0.0,-0.4979724521625428
-0.10000000000000142,-0.5177396500410936
-0.20000000000000107,-0.5377433787145947
-0.3000000000000007,-0.5579536221933523
-0.40000000000000036,-0.5783389622759927
-0.5,-0.5988665174871954
-0.6000000000000014,-0.6195019830457227
-0.7000000000000011,-0.6402101582203557
-0.8000000000000007,-0.6609541247648565
-0.9000000000000004,-0.6816963948885757
-1.0,-0.7023981984932703
-1.1000000000000014,-0.723019843995587
-1.200000000000001,-0.7435209559147893
-1.3000000000000007,-0.7638603594095628
-1.4000000000000004,-0.7839963467315414
-1.5,-0.8038866883275375
-1.6000000000000014,-0.8234887882707653
-1.700000000000001,-0.842759912966784
-1.8000000000000007,-0.8616554425522338
-1.9000000000000004,-0.880138102399286
-2.0,-0.8981594656898295
-2.1000000000000014,-0.9156796609843809
-2.200000000000001,-0.9326570632461895
-2.3000000000000007,-0.9490509100817945
-2.4000000000000004,-0.9648214438495728
-2.5,-0.9799300004775802
-2.6000000000000014,-0.9943394913003445
-2.700000000000001,-1.008014350323272
-2.8000000000000007,-1.0209209633238459
-2.9000000000000004,-1.0330277627756956
-3.0,-1.0443056730480293
-3.1000000000000014,-1.054728180904796
-3.200000000000001,-1.0642716591346968
-3.3000000000000007,-1.0729157096101005
-3.4000000000000004,-1.0806431621768198
-3.5,-1.0874406380922963
-3.6000000000000014,-1.0932984595424244
-3.700000000000001,-1.0982110210111529
-3.8000000000000007,-1.1021769047436791
-3.9000000000000004,-1.105199026185666
-4.0,-1.1072846456405827
-4.100000000000001,-1.1084455828203055
-4.200000000000001,-1.108697968155159
-4.300000000000001,-1.1080624437442843
-4.4,-1.1065638155782764
-4.5,-1.1042310396613964
-4.600000000000001,-1.1010969105940127
-4.700000000000001,-1.0971977348894768
-4.800000000000001,-1.0925730628552621
-4.9,-1.087265246169089
-5.0,-1.0813189305070026
-5.100000000000001,-1.0747806591937525
-5.200000000000001,-1.0676983852597743
-5.300000000000001,-1.0601208504101844
-5.4,-1.0520972354433056
-5.5,-1.0436764778798402
-5.600000000000001,-1.0349069295978452
-5.700000000000001,-1.0258358769388298
-5.800000000000001,-1.0165091067493304
-5.9,-1.0069705817794539
-6.0,-0.9972621754783528
-6.100000000000001,-0.9874233410089861
-6.199999999999999,-0.9774910031401518
-6.300000000000001,-0.9674994261299474
-6.400000000000002,-0.9574801061729143
-6.5,-0.9474617658489226
-6.600000000000001,-0.9374703535680595
-6.699999999999999,-0.9275291627114379
-6.800000000000001,-0.9176588143533504
-6.900000000000002,-0.9078775091431179
-7.0,-0.898201043264546
-7.100000000000001,-0.8886430300641956
-7.199999999999999,-0.87921502391064
-7.300000000000001,-0.8699266833278596
-7.400000000000002,-0.8607859749987234
-7.5,-0.851799305534584
-7.600000000000001,-0.8429716411711974
-7.699999999999999,-0.8343067455646169
-7.800000000000001,-0.8258072293695906
-7.900000000000002,-0.8174747381448078
-8.0,-0.8093100583791979
-8.100000000000001,-0.8013132207773666
-8.2,-0.7934836311965232
-8.3,-0.7858201003796417
-8.400000000000002,-0.778321013680805
-8.5,-0.7709843389061555
-8.600000000000001,-0.7638077008376154
-8.7,-0.7567884763651223
-8.8,-0.7499238151471854
-8.900000000000002,-0.7432106801166793
-9.0,-0.7366459067216502
-9.100000000000001,-0.7302262339595189
-9.200000000000003,-0.7239483231294419
-9.3,-0.7178087925614751
-9.400000000000002,-0.7118042417986192
-9.5,-0.7059312562458786
-9.600000000000001,-0.7001864419341197
-9.700000000000003,-0.6945664243578065
-9.8,-0.6890678694131125
-9.900000000000002,-0.68368748102135
-10.0,-0.6784220345137232
-9.9,-0.6671308744148063
-9.8,-0.6587817974294807
-9.7,-0.6514197629231555
-9.6,-0.6446077627057789
-9.5,-0.638170234035923
-9.4,-0.6320146266926285
-9.3,-0.6260839969553234
-9.2,-0.6203396052568977
-9.1,-0.614753170938287
-9.0,-0.6093029442967579
-8.9,-0.6039714960104359
-8.8,-0.5987444150895582
-8.7,-0.5936094460423647
-8.6,-0.5885559620222303
-8.5,-0.5835745481470866
-8.4,-0.5786567505716711
-8.3,-0.5737948612603849
-8.2,-0.5689817640826267
-8.1,-0.5642108234782395
-8.0,-0.5594757857690924
-7.9,-0.5547707160671878
-7.8,-0.5500899126487102
-7.699999999999999,-0.545427891671113
-7.6,-0.5407793197270694
-7.5,-0.5361389805724759
-7.4,-0.5315017559057167
-7.3,-0.5268625795709636
-7.199999999999999,-0.5222164412704844
-7.1,-0.5175583286942675
-7.0,-0.5128832408773931
-6.9,-0.5081861471911697
-6.8,-0.5034619933799722
-6.699999999999999,-0.49870565350940144
-6.6,-0.4939119490829369
-6.5,-0.48907560865757427
-6.4,-0.48419128359511454
-6.3,-0.47925350840638536
-6.199999999999999,-0.474256688851038
-6.1,-0.4691951297625119
-6.0,-0.4640629838043031
-5.8999999999999995,-0.4588542491107406
-5.8,-0.4535627647767049
-5.7,-0.44818222348641523
-5.6,-0.4427061300882329
-5.5,-0.4371277981252142
-5.3999999999999995,-0.4314403831418012
-5.3,-0.42563682703389283
-5.199999999999999,-0.4197098915637021
-5.1,-0.41365212408162044
-5.0,-0.4074558791755667
-4.8999999999999995,-0.40111332609560346
-4.8,-0.39461641308802253
-4.699999999999999,-0.38795691235937735
-4.6,-0.38112639134946225
-4.5,-0.37411625006256166
-4.3999999999999995,-0.36691769997321266
-4.3,-0.3595218192598004
-4.199999999999999,-0.35191950006896455
-4.1,-0.3441015448968354
-4.0,-0.3360586182943326
-3.8999999999999995,-0.32778131250910114
-3.8,-0.3192601544244056
-3.6999999999999993,-0.31048564788638267
-3.5999999999999996,-0.30144827384281925
-3.5,-0.2921385922061148
-3.3999999999999995,-0.28254720813025713
-3.3,-0.2726648730411174
-3.1999999999999993,-0.26248245785231994
-3.0999999999999996,-0.2519911056209079
-3.0,-0.24118219948965347
-2.8999999999999995,-0.2300474655214657
-2.8,-0.21857900017741017
-2.6999999999999993,-0.20676935663654916
-2.5999999999999996,-0.19461159572742304
-2.5,-0.1820993905665702
-2.3999999999999995,-0.1692270365505344
-2.3,-0.1559895343450357
-2.1999999999999993,-0.14238273532418688
-2.0999999999999996,-0.12840330493313346
-2.0,-0.11404891003818918
-1.9000000000000004,-0.09931816091768297
-1.799999999999999,-0.08421082914322753
-1.6999999999999993,-0.06872778707256444
-1.5999999999999996,-0.05287119353436509
-1.5,-0.03664449382823065
-1.4000000000000004,-0.02005243721070471
-1.299999999999999,-0.0031013117074429886
-1.1999999999999993,0.01420118023176542
-1.0999999999999996,0.03184578101222968
-1.0,0.049821623493429
-0.9000000000000004,0.06811620545388308
-0.7999999999999989,0.08671533380244512
-0.6999999999999993,0.10560313512542052
-0.5999999999999996,0.1247619407784839
-0.5,0.1441723523898375
-0.3999999999999986,0.16381318190816785
-0.29999999999999893,0.18366139831194062
-0.1999999999999993,0.2036922269743613
-0.09999999999999964,0.22387910414423118
0.0,0.2441936763908359
0.10000000000000142,0.2646057933874957
0.20000000000000107,0.2850836106071952
0.3000000000000007,0.30559361374749017
0.40000000000000036,0.3261005693255825
0.5,0.34656769121177433
0.6000000000000014,0.36695668059749664
0.7000000000000011,0.3872277704042304
0.8000000000000007,0.40733978245999225
0.9000000000000004,0.4272503417723783
1.0,0.44691581879696685
1.1000000000000014,0.4662916841535747
1.200000000000001,0.4853323765097173
1.3000000000000007,0.5039916939342248
1.4000000000000004,0.5222226928669471
1.5,0.5399783287174387
1.6000000000000014,0.5572111250184975
1.700000000000001,0.5738738728666704
1.8000000000000007,0.5899193566971661
1.9000000000000004,0.6053013812401531
2.0,0.6199742685897291
2.1000000000000014,0.6338937141858736
2.200000000000001,0.6470169267025483
2.3000000000000007,0.6593030188462023
2.4000000000000004,0.67071318277101
2.5,0.6812118269472478
2.6000000000000014,0.6907659499955088
2.700000000000001,0.6993462986493171
2.8000000000000007,0.7069278029625536
2.9000000000000004,0.7134892399118797
3.0,0.7190148165747701
3.1000000000000014,0.7234935428535039
3.200000000000001,0.726920137417153
3.3000000000000007,0.7292952841631006
3.4000000000000004,0.7306255456196453
3.5,0.7309239880015639
3.6000000000000014,0.7302099525041683
3.700000000000001,0.7285091319086945
3.8000000000000007,0.7258535328347193
3.9000000000000004,0.7222810938234403
4.0,0.717835438868164
4.100000000000001,0.7125653422868083
4.200000000000001,0.7065241569570446
4.300000000000001,0.6997691159860153
4.4,0.6923607265285625
4.5,0.6843615685259152
4.600000000000001,0.6758358084280047
4.700000000000001,0.6668482022131883
4.800000000000001,0.6574628685918071
4.9,0.647743368942244
5.0,0.6377509209620769
5.100000000000001,0.6275443897862942
5.200000000000001,0.6171793420772786
5.300000000000001,0.6067080127181157
5.4,0.5961784665942105
5.5,0.5856347262689354
5.600000000000001,0.5751165066403274
5.700000000000001,0.5646592105001957
5.800000000000001,0.5542939973679495
5.9,0.544047933370706
6.0,0.5339441655483057
6.100000000000001,0.5240020706231974
6.199999999999999,0.5142381120926132
6.300000000000001,0.5046648221540551
6.400000000000002,0.4952925825030263
6.5,0.4861290403557206
6.600000000000001,0.47717962914362033
6.699999999999999,0.46844785828170643
6.800000000000001,0.45993543973388284
6.900000000000002,0.45164298523303614
7.0,0.44356934125744374
7.100000000000001,0.4357127036946906
7.199999999999999,0.4280703047587764
7.300000000000001,0.420638669451634
7.400000000000002,0.41341377876591423
7.5,0.40639104637030243
7.600000000000001,0.39956576491917417
7.699999999999999,0.39293279963104055
7.800000000000001,0.38648688249764973
7.900000000000002,0.3802226244964402
8.0,0.3741346299435122
8.100000000000001,0.36821740434511696
8.2,0.3624655364742324
8.3,0.35687364841052727
8.400000000000002,0.3514364321777208
8.5,0.34614869637294987
8.600000000000001,0.3410053517338696
8.7,0.33600144333512105
8.8,0.33113214170654715
8.900000000000002,0.3263927417229695
9.0,0.3217787236664549
9.100000000000001,0.3172857065969481
9.200000000000003,0.31290941615580437
9.3,0.30864577116318515
9.400000000000002,0.3044908214455688
9.5,0.300440761158427
9.600000000000001,0.29649192434533234
