Potential,Flux
10.0,-0.00023303692309184498
9.9,-0.000197758476261356
9.8,-0.00018905210730224553
9.7,-0.00019063750578141025
9.6,-0.00019793833239134528
9.5,-0.00020922930055178313
9.4,-0.00022376656083622493
9.3,-0.0002412414712438249
9.2,-0.0002615685446016869
9.1,-0.00028478996938474666
9.0,-0.0003110378621329346
8.9,-0.0003405042914295109
8.8,-0.00037343905745501615
8.7,-0.00041013858975702533
8.6,-0.0004509415063580491
8.5,-0.0004962441568778786
8.4,-0.0005464828589651916
8.3,-0.0006021472209738477
8.2,-0.0006637856930780117
8.1,-0.0007320055672721537
8.0,-0.0008074763080401226
7.9,-0.000890948426146565
7.8,-0.0009832412661836543
7.699999999999999,-0.001085268541700657
7.6,-0.0011980361147578833
7.5,-0.001322653098156934
7.4,-0.0014603462883400198
7.3,-0.0016124668267281095
7.199999999999999,-0.0017805068530662993
7.1,-0.00196610838720801
7.0,-0.002171084423352454
6.9,-0.0023974289220518585
6.8,-0.0026473401248949813
6.699999999999999,-0.0029232372078524804
6.6,-0.003227782485737407
6.5,-0.0035639025064426733
6.4,-0.003934816916739692
6.3,-0.0043440628871849185
6.199999999999999,-0.004795523977918492
6.1,-0.005293467886247072
6.0,-0.0058425686511043295
5.8999999999999995,-0.006447954392641009
5.8,-0.007115241729138688
5.7,-0.007850577965484717
5.6,-0.008660683281647152
5.5,-0.009552901802933889
5.3999999999999995,-0.01053524933958272
5.3,-0.011616461126351396
5.199999999999999,-0.012806044002999784
5.1,-0.014114345248117388
5.0,-0.015552604759605515
4.8999999999999995,-0.01713298170002986
4.8,-0.01886865441669272
4.699999999999999,-0.020773862630107942
4.6,-0.022863945181583745
4.5,-0.025155415528388403
4.3999999999999995,-0.027665983948210737
4.3,-0.03041461638098042
4.199999999999999,-0.033421566625335686
4.1,-0.03670837966929241
4.0,-0.040297906123143434
3.8999999999999995,-0.044214337746595334
3.8,-0.04848310863891925
3.6999999999999993,-0.05313089745939692
3.5999999999999996,-0.058185598561522056
3.5,-0.06367614768798546
3.3999999999999995,-0.0696324387039482
3.3,-0.07608518814983256
3.1999999999999993,-0.08306575316474607
3.0999999999999996,-0.09060592276455282
3.0,-0.09873763584522521
2.8999999999999995,-0.10749268475329643
2.8,-0.11690251211504687
2.6999999999999993,-0.1269978455731291
2.5999999999999996,-0.1378081893044225
2.5,-0.1493615175984786
2.3999999999999995,-0.16168424155083017
2.3,-0.1748000255652471
2.1999999999999993,-0.18873010376729837
2.0999999999999996,-0.20349254836737884
2.0,-0.21910148140236174
1.9000000000000004,-0.235568126116803
1.799999999999999,-0.2528987130823168
1.6999999999999993,-0.2710948165951521
1.5999999999999996,-0.2901545836930808
1.5,-0.31006901601848824
1.4000000000000004,-0.33082756645264055
1.299999999999999,-0.35240504403510897
1.1999999999999993,-0.37478780301469783
1.0999999999999996,-0.3979341745008469
1.0,-0.42189449156460057
0.9000000000000004,-0.44639223983899967
0.7999999999999989,-0.471627407128139
0.6999999999999993,-0.49745067287609857
0.5999999999999996,-0.5239226397169006
0.5,-0.5506803046895214
0.3999999999999986,-0.5779575606990051
0.29999999999999893,-0.6055803980498098
0.1999999999999993,-0.6334380908690207
0.09999999999999964,-0.6615135250687132
0.0,-0.6897253634896572
-0.10000000000000142,-0.718278665434724
-0.20000000000000107,-0.7462928286461334
-0.3000000000000007,-0.7739832907915911
-0.40000000000000036,-0.8019933839253923
-0.5,-0.8294029363309363
-0.6000000000000014,-0.8560666164836306
-0.7000000000000011,-0.8825512376464673
-0.8000000000000007,-0.9101884346218725
-0.9000000000000004,-0.9333290051927179
-1.0,-0.9574288384328611
-1.1000000000000014,-0.9822875357556882
-1.200000000000001,-1.002777897385343
-1.3000000000000007,-1.0239704939518646
-1.4000000000000004,-1.0440506675868377
-1.5,-1.0624208834908444
-1.6000000000000014,-1.0796718469263666
-1.700000000000001,-1.0953427637128144
-1.8000000000000007,-1.109518754094374
-1.9000000000000004,-1.1220907386588763
-2.0,-1.1331020244309542
-2.1000000000000014,-1.1424355961242583
-2.200000000000001,-1.1500909719019958
-2.3000000000000007,-1.1560995261117313
-2.4000000000000004,-1.1604340305337857
-2.5,-1.163125454839431
-2.6000000000000014,-1.1642073949325038
-2.700000000000001,-1.1637241537076903
-2.8000000000000007,-1.1617442619016316
-2.9000000000000004,-1.1583410594595556
-3.0,-1.1535912758375844
-3.1000000000000014,-1.1476143380040327
-3.200000000000001,-1.1404811592341524
-3.3000000000000007,-1.1323123530471157
-3.4000000000000004,-1.123219053600355
-3.5,-1.113309321121303
-3.6000000000000014,-1.102700940558421
-3.700000000000001,-1.0914927311977962
-3.8000000000000007,-1.0797977231802314
-3.9000000000000004,-1.0677049264162797
-4.0,-1.055314334252877
-4.100000000000001,-1.0427062413498334
-4.200000000000001,-1.0299588854012498
-4.300000000000001,-1.0171407768821972
-4.4,-1.0043142226190405
-4.5,-0.9915322107811875
-4.600000000000001,-0.9788417722200737
-4.700000000000001,-0.9662825532774644
-4.800000000000001,-0.9538879902626363
-4.9,-0.9416857810196078
-5.0,-0.9296984473938785
-5.100000000000001,-0.9179439132422917
-5.200000000000001,-0.9064359479671324
-5.300000000000001,-0.8951848069760349
-5.4,-0.884197583900237
-5.5,-0.8734787350361817
-5.600000000000001,-0.8630304217105422
-5.700000000000001,-0.8528528996909479
-5.800000000000001,-0.8429447932722933
-5.9,-0.8333034044738508
-6.0,-0.8239249486841072
-6.100000000000001,-0.8148047353495613
-6.199999999999999,-0.8059373969582229
-6.300000000000001,-0.7973170146335917
-6.400000000000002,-0.78893725732887
-6.5,-0.7807915082536088
-6.600000000000001,-0.772872932319757
-6.699999999999999,-0.7651745881354088
-6.800000000000001,-0.7576894775485066
-6.900000000000002,-0.7504106053213278
-7.0,-0.7433310267312976
-7.100000000000001,-0.7364438830981257
-7.199999999999999,-0.7297424323149393
-7.300000000000001,-0.7232200724405224
-7.400000000000002,-0.7168703625159978
-7.5,-0.7106870350548355
-7.600000000000001,-0.7046640047858599
-7.699999999999999,-0.6987953803105906
-7.800000000000001,-0.693075464380799
-7.900000000000002,-0.6874987590332893
-8.0,-0.6820599653123427
-8.100000000000001,-0.6767539814656054
-8.2,-0.6715759030828661
-8.3,-0.6665210178224967
-8.400000000000002,-0.6615848022195614
-8.5,-0.6567629166898126
-8.600000000000001,-0.6520512015051327
-8.7,-0.6474456700628073
-8.8,-0.6429425047221882
-8.900000000000002,-0.6385380491025217
-9.0,-0.634228803919612
-9.100000000000001,-0.6300114197693718
-9.200000000000003,-0.625882691437929
-9.3,-0.6218395533913457
-9.400000000000002,-0.61787907117139
-9.5,-0.6139984381342556
-9.600000000000001,-0.6101949689973907
-9.700000000000003,-0.6064660942189937
-9.8,-0.6028093554877323
-9.900000000000002,-0.5992223993389612
-10.0,-0.5957029736852748
-9.9,-0.5921459293733999
-9.8,-0.588678453067315
-9.7,-0.5852841975656498
-9.6,-0.5819555682490263
-9.5,-0.5786876574459532
-9.4,-0.575476722039503
-9.3,-0.5723196325885249
-9.2,-0.5692136240825763
-9.1,-0.5661561660458281
-9.0,-0.5631448888460122
-8.9,-0.560177532693551
-8.8,-0.5572519151675337
-8.7,-0.5543659057499761
-8.6,-0.5515174049397498
-8.5,-0.5487043282931259
-8.4,-0.5459245901173748
-8.3,-0.5431760905644234
-8.2,-0.5404567030020679
-8.1,-0.5377642594422971
-8.0,-0.5350965404105068
-7.9,-0.5324512595411557
-7.8,-0.5298260520592013
-7.699999999999999,-0.5272184609717012
-7.6,-0.5246259226349137
-7.5,-0.5220457508642307
-7.4,-0.5194751237502793
-7.3,-0.5169110651320752
-7.199999999999999,-0.5143504280130662
-7.1,-0.5117898724954495
-7.0,-0.5092258539840522
-6.9,-0.5066545927939758
-6.8,-0.5040720570115287
-6.699999999999999,-0.5014739377917632
-6.6,-0.4988556234764019
-6.5,-0.4962121707280387
-6.4,-0.4935382797582877
-6.3,-0.49082825928636886
-6.199999999999999,-0.4880759951059188
-6.1,-0.48527492198247035
-6.0,-0.4824179762608072
-5.8999999999999995,-0.4794975655419975
-5.8,-0.4765055332950352
-5.7,-0.47343310036196407
-5.6,-0.47027084434936306
-5.5,-0.46700864085591487
-5.3999999999999995,-0.46363561892470706
-5.3,-0.46014012121398107
-5.199999999999999,-0.4565096558412085
-5.1,-0.45273085121089185
-5.0,-0.4487894059851394
-4.8999999999999995,-0.4446700539728621
-4.8,-0.4403565304761381
-4.699999999999999,-0.4358315206648422
-4.6,-0.43107664590702477
-4.5,-0.4260724362215029
-4.3999999999999995,-0.4207982344517358
-4.3,-0.41523255479847254
-4.199999999999999,-0.4093523973958124
-4.1,-0.40313408472547607
-4.0,-0.3965526151894494
-3.8999999999999995,-0.3895820339938627
-3.8,-0.3821954262794858
-3.6999999999999993,-0.374366029010087
-3.5999999999999996,-0.36606525560811676
-3.5,-0.3572636431137255
-3.3999999999999995,-0.3479302862485767
-3.3,-0.3380430586841232
